"","lon","lat"
"463",42.2448,21.9447
"464",42.4112,17.6268
"465",42.4112,17.7822
"466",42.4112,17.9487
"467",42.4112,18.1263
"468",42.4112,18.2928
"469",42.4112,18.4482
"470",42.4112,18.6147
"471",42.4112,18.7812
"472",42.4112,18.9588
"473",42.4112,19.1253
"474",42.4112,19.2918
"475",42.4112,19.4472
"476",42.4112,19.6137
"477",42.4112,19.7913
"478",42.4112,19.9578
"479",42.4112,20.1132
"480",42.4112,20.2797
"481",42.4112,20.4462
"482",42.4112,20.6238
"483",42.4112,20.7903
"484",42.4112,20.9568
"485",42.4112,21.1122
"486",42.4112,21.2787
"487",42.4112,21.4563
"488",42.4112,21.6228
"489",42.4112,21.7782
"490",42.5568,17.6268
"491",42.5568,17.7822
"492",42.5568,17.9487
"493",42.5568,18.1263
"494",42.5568,18.2928
"495",42.5568,18.4482
"496",42.5568,18.6147
"497",42.5568,18.7812
"498",42.5568,18.9588
"499",42.5568,19.1253
"500",42.5568,19.2918
"501",42.5568,19.4472
"502",42.5568,19.6137
"503",42.5568,19.7913
"504",42.5568,19.9578
"505",42.5568,20.1132
"506",42.5568,20.2797
"507",42.5568,20.4462
"508",42.5568,20.6238
"509",42.5568,20.7903
"510",42.5568,20.9568
"511",42.5568,21.1122
"512",42.5568,21.2787
"513",42.5568,21.4563
"514",42.5568,21.6228
"515",42.7232,17.6268
"516",42.7232,17.7822
"517",42.7232,17.9487
"518",42.7232,18.1263
"519",42.7232,18.2928
"520",42.7232,18.4482
"521",42.7232,18.6147
"522",42.7232,18.7812
"523",42.7232,18.9588
"524",42.7232,19.1253
"525",42.7232,19.2918
"526",42.7232,19.4472
"527",42.7232,19.6137
"528",42.7232,19.7913
"529",42.7232,19.9578
"530",42.7232,20.1132
"531",42.7232,20.2797
"532",42.7232,20.4462
"533",42.7232,20.6238
"534",42.7232,20.7903
"535",42.7232,20.9568
"536",42.7232,21.1122
"537",42.8688,17.6268
"538",42.8688,17.7822
"539",42.8688,17.9487
"540",42.8688,18.1263
"541",42.8688,18.2928
"542",42.8688,18.4482
"543",42.8688,18.6147
"544",42.8688,18.7812
"545",42.8688,18.9588
"546",42.8688,19.1253
"547",42.8688,19.2918
"548",42.8688,19.4472
"549",42.8688,19.6137
"550",42.8688,19.7913
"551",42.8688,19.9578
"552",42.8688,20.1132
"553",42.8688,20.2797
"554",42.8688,20.4462
"555",42.8688,20.6238
"556",42.8688,20.7903
"557",43.0352,17.6268
"558",43.0352,17.7822
"559",43.0352,17.9487
"560",43.0352,18.1263
"561",43.0352,18.2928
"562",43.0352,18.4482
"563",43.0352,18.6147
"564",43.0352,18.7812
"565",43.0352,18.9588
"566",43.0352,19.1253
"567",43.0352,19.2918
"568",43.0352,19.4472
"569",43.0352,19.6137
"570",43.0352,19.7913
"571",43.0352,19.9578
"572",43.0352,20.1132
"573",43.0352,20.2797
"574",43.0352,20.4462
"575",43.1912,17.6268
"576",43.1912,17.7822
"577",43.1912,17.9487
"578",43.1912,18.1263
"579",43.1912,18.2928
"580",43.1912,18.4482
"581",43.1912,18.6147
"582",43.1912,18.7812
"583",43.1912,18.9588
"584",43.1912,19.1253
"585",43.1912,19.2918
"586",43.1912,19.4472
"587",43.1912,19.6137
"588",43.1912,19.7913
"589",43.1912,19.9578
"590",43.1912,20.1132
"591",43.1912,20.2797
"592",43.3368,17.6268
"593",43.3368,17.7822
"594",43.3368,17.9487
"595",43.3368,18.1263
"596",43.3368,18.2928
"597",43.3368,18.4482
"598",43.3368,18.6147
"599",43.3368,18.7812
"600",43.3368,18.9588
"601",43.3368,19.1253
"602",43.3368,19.2918
"603",43.3368,19.4472
"604",43.3368,19.6137
"605",43.3368,19.7913
"606",43.3368,19.9578
"607",43.5032,17.6268
"608",43.5032,17.7822
"609",43.5032,17.9487
"610",43.5032,18.1263
"611",43.5032,18.2928
"612",43.5032,18.4482
"613",43.5032,18.6147
"614",43.5032,18.7812
"615",43.5032,18.9588
"616",43.5032,19.1253
"617",43.5032,19.2918
"618",43.5032,19.4472
"619",43.5032,19.6137
"620",43.5032,19.7913
"621",43.6488,17.6268
"622",43.6488,17.7822
"623",43.6488,17.9487
"624",43.6488,18.1263
"625",43.6488,18.2928
"626",43.6488,18.4482
"627",43.6488,18.6147
"628",43.6488,18.7812
"629",43.6488,18.9588
"630",43.6488,19.1253
"631",43.6488,19.2918
"632",43.6488,19.4472
"633",43.6488,19.6137
"634",43.8048,17.6268
"635",43.8048,17.7822
"636",43.8048,17.9487
"637",43.8048,18.1263
"638",43.8048,18.2928
"639",43.8048,18.4482
"640",43.8048,18.6147
"641",43.8048,18.7812
"642",43.8048,18.9588
"643",43.8048,19.1253
"644",43.8048,19.2918
"645",43.8048,19.4472
"646",43.9712,17.6268
"647",43.9712,17.7822
"648",43.9712,17.9487
"649",43.9712,18.1263
"650",43.9712,18.2928
"651",43.9712,18.4482
"652",43.9712,18.6147
"653",43.9712,18.7812
"654",43.9712,18.9588
"655",43.9712,19.1253
"656",43.9712,19.2918
"657",44.1168,17.6268
"658",44.1168,17.7822
"659",44.1168,17.9487
"660",44.1168,18.1263
"661",44.1168,18.2928
"662",44.1168,18.4482
"663",44.1168,18.6147
"664",44.1168,18.7812
"665",44.1168,18.9588
"666",44.2832,17.6268
"667",44.2832,17.7822
"668",44.2832,17.9487
"669",44.2832,18.1263
"670",44.2832,18.2928
"671",44.2832,18.4482
"672",44.2832,18.6147
"673",44.4288,17.6268
"674",44.4288,17.7822
"675",44.4288,17.9487
"676",44.4288,18.1263
"677",44.4288,18.2928
"678",44.4288,18.4482
